ExperimentName	Subject	Session	Block	GunKey	mapping	Procedure[Block]	ResponseMapping	ResponseMapping.Cycle	ResponseMapping.Sample	Running[Block]	ToolKey	Trial	DoIntro	DoIntro.Cycle	DoIntro.Sample	Procedure[Trial]	Running[Trial]	SubTrial	BlockProcList	BlockProcList.Cycle	BlockProcList.Sample	Condition	Procedure[SubTrial]	Running[SubTrial]	LogLevel5	BlackFace	BlackGunList	BlackPrime	BlackTarget	ChunkList1	ChunkList1.Cycle	ChunkList1.Sample	Correct	Cue.DurationError	Cue.OnsetDelay	Cue.OnsetTime	CueType	feedbackmask	feedduration	FeedMask.ACC	FeedMask.CRESP	FeedMask.DurationError	FeedMask.OnsetDelay	FeedMask.OnsetTime	FeedMask.RESP	FeedMask.RT	FeedMask.RTTime	GunPic	GunTarget	Mask.DurationError	Mask.OnsetDelay	Mask.OnsetTime	Probe.ACC	Probe.CRESP	Probe.DurationError	Probe.OnsetDelay	Probe.OnsetTime	Probe.RESP	Probe.RT	Probe.RTTime	ProbeType	Procedure[LogLevel5]	Response.DurationError	Response.OnsetDelay	Response.OnsetTime	Running[LogLevel5]	TrialType	WhiteFace	WhitePrime
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	44	1	1	BlackFace1.bmp	BlackFace2.bmp	3	2	143	f	0	1	547421	BlackFace1.bmp	fast	500	0		0	1	548123		0	0			0	-1	546420	1	f	0	1	547622	f	342	547964	BlackFace2.bmp	TrialProc	0	0	547822	ChunkList1	BlackBlack		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	45	5	1	BlackFace2.bmp	BlackFace3.bmp	3	2	144	f	0	1	549623	BlackFace2.bmp	fast	500	0		0	1	550325		0	0			0	-1	548622	1	f	0	1	549824	f	388	550212	BlackFace3.bmp	TrialProc	0	0	550024	ChunkList1	BlackBlack		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	46	8	1	BlackFace3.bmp	BlackFace2.bmp	3	2	145	f	0	0	551825	BlackFace3.bmp	fast	500	0		0	1	552527		0	0			0	0	550825	1	f	0	1	552026	f	378	552404	BlackFace2.bmp	TrialProc	0	0	552226	ChunkList1	BlackBlack		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	47	10	1	BlackFace4.bmp	BlackFace1.bmp	3	2	146	f	0	1	554028	BlackFace4.bmp	fast	500	0		0	1	554729		0	0			0	0	553027	1	f	0	0	554228	f	384	554612	BlackFace1.bmp	TrialProc	0	0	554428	ChunkList1	BlackBlack		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	48		4			3	2	147	j	0	1	556230	whiteface3.bmp	fast	500	0		0	1	556931		0	0	4	WEAPON4.bmp	0	0	555229	1	j	0	0	556430	j	326	556756	WEAPON4.bmp	TrialProc	0	0	556630	ChunkList1	WhiteGun	3	whiteface3.bmp
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	49	9	3	BlackFace3.bmp	BlackFace4.bmp	3	2	148	f	0	1	558432	whiteface4.bmp	fast	500	0		0	1	559133		0	0			0	0	557431	1	f	0	0	558632	f	412	559044	BlackFace4.bmp	TrialProc	0	0	558832	ChunkList1	WhiteBlack	4	whiteface4.bmp
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	50		4			3	2	149	j	0	1	560634	whiteface1.bmp	fast	500	0		0	1	561335		0	0	1	WEAPON1.bmp	0	0	559633	1	j	0	0	560834	j	370	561204	WEAPON1.bmp	TrialProc	0	0	561034	ChunkList1	WhiteGun	1	whiteface1.bmp
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	51	11	2	BlackFace4.bmp	BlackFace2.bmp	3	2	150	j	0	1	562836	BlackFace4.bmp	fast	500	0		0	1	563537		0	0	3	WEAPON3.bmp	0	0	561835	0	j	0	0	563036	f	384	563420	WEAPON3.bmp	TrialProc	0	0	563236	ChunkList1	BlackGun		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	52	12	1	BlackFace4.bmp	BlackFace3.bmp	3	2	151	f	0	1	565038	BlackFace4.bmp	fast	500	0		0	2	565740		0	0			0	0	564037	1	f	0	0	565238	f	358	565596	BlackFace3.bmp	TrialProc	0	0	565438	ChunkList1	BlackBlack		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	53	5	1	BlackFace2.bmp	BlackFace3.bmp	3	2	152	f	0	1	567240	BlackFace2.bmp	fast	500	0		0	1	567941		0	0			0	-1	566239	1	f	0	0	567440	f	372	567812	BlackFace3.bmp	TrialProc	0	0	567640	ChunkList1	BlackBlack		
